crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio
CRC161631,Take Groundwater,A,M35/7258,12.0,True,71.0,41.0,9.0,1.0
CRC161732,Take Groundwater,A,M35/1811,15.0,True,0.0,0.0,0.0,1.0
CRC162515,Take Groundwater,A,M35/7622,100.0,True,85.0,68.0,39.0,0.40816326530612246
CRC162515,Take Groundwater,A,M35/7666,100.0,True,84.0,66.0,36.0,0.40816326530612246
CRC162515,Take Groundwater,A,M35/8398,45.0,True,90.0,78.0,56.0,0.1836734693877551
CRC163175,Take Groundwater,A,BW22/0063,18.0,True,0.0,0.0,0.0,0.2857142857142857
CRC163175,Take Groundwater,A,L35/0721,15.0,True,69.0,38.0,7.0,0.23809523809523808
CRC163175,Take Groundwater,A,L35/0782,15.0,True,87.0,72.0,46.0,0.23809523809523808
CRC163175,Take Groundwater,A,L35/0783,15.0,True,84.0,65.0,35.0,0.23809523809523808
CRC163200,Take Groundwater,A,L35/1016,4.9,True,0.0,0.0,0.0,1.0
CRC165555,Take Groundwater,A,BW22/0045,90.0,True,0.0,0.0,0.0,0.45685279187817257
CRC165555,Take Groundwater,A,L35/0765,107.0,True,0.0,0.0,0.0,0.5431472081218274
CRC166046,Take Groundwater,A,M35/1647,33.8,True,100.0,99.0,98.0,1.0
CRC166270,Take Groundwater,A,M35/10984,10.0,True,55.0,19.0,1.0,1.0
CRC166677,Take Surface Water,A,L35/0906,11041.0,True,100.0,100.0,100.0,1.0
CRC167628,Take Groundwater,A,M35/8893,9.5,True,40.0,6.0,0.0,1.0
CRC167773,Take Groundwater,A,L35/0857,10.0,True,0.0,0.0,0.0,1.0
CRC168059,Take Groundwater,A,L35/0924,54.0,True,0.0,0.0,0.0,1.0
CRC169453,Take Groundwater,A,BW22/0074,50.0,True,0.0,0.0,0.0,0.22935779816513763
CRC169453,Take Groundwater,A,L35/1051,84.0,True,0.0,0.0,0.0,0.3853211009174312
CRC169453,Take Groundwater,A,L35/1052,84.0,False,0.0,0.0,0.0,0.3853211009174312
CRC169510,Take Groundwater,A,BW22/0049,60.0,True,0.0,0.0,0.0,0.5217391304347826
CRC169510,Take Groundwater,A,L35/0850,55.0,True,0.0,0.0,0.0,0.4782608695652174
CRC170034,Take Groundwater,A,M35/8569,85.0,True,99.0,98.0,95.0,1.0
CRC170076,Take Groundwater,A,BW23/0031,32.0,True,0.0,0.0,0.0,1.0
CRC170429,Take Groundwater,A,M35/11643,15.0,True,95.0,88.0,75.0,1.0
CRC172004,Take Groundwater,A,BW23/0167,10.0,True,0.0,0.0,0.0,0.1282051282051282
CRC172004,Take Groundwater,A,BW23/0168,10.0,True,0.0,0.0,0.0,0.1282051282051282
CRC172004,Take Groundwater,A,BW23/0169,12.0,True,0.0,0.0,0.0,0.15384615384615385
CRC172004,Take Groundwater,A,BW23/0173,10.0,True,0.0,0.0,0.0,0.1282051282051282
CRC172004,Take Groundwater,A,L35/1187,12.0,True,0.0,0.0,0.0,0.15384615384615385
CRC172004,Take Groundwater,A,L35/1188,12.0,True,0.0,0.0,0.0,0.15384615384615385
CRC172004,Take Groundwater,A,L35/1192,12.0,True,19.0,0.0,0.0,0.15384615384615385
CRC172240,Take Groundwater,A,L35/1027,8.0,True,0.0,0.0,0.0,0.09090909090909091
CRC172240,Take Groundwater,A,L35/1098,80.0,True,0.0,0.0,0.0,0.9090909090909091
CRC172241,Take Groundwater,A,L35/0738,7.0,True,0.0,0.0,0.0,1.0
CRC172416,Take Groundwater,A,BW23/0376,85.0,True,0.0,0.0,0.0,0.6075768406004288
CRC172416,Take Groundwater,A,M35/11380,20.0,True,44.0,9.0,0.0,0.14295925661186562
CRC172416,Take Groundwater,A,M35/11381,30.0,True,49.0,12.0,0.0,0.21443888491779842
